# 福岡市水道料金 従量料金表
# 出典: https://www.city.fukuoka.lg.jp/mizu/eigyo/0018_3_2.html
# 単位: 円（税抜）／m³
# 消費税: 基本料金＋従量料金の合計に1.10を乗じる
# usage_min, usage_max: 使用量区間 [m³]（usage_max=null は上限なし）
category,meter_size_group,usage_min_m3,usage_max_m3,rate_jpy_per_m3_excl_tax
家事用,25mm以下,1,20,17
家事用,25mm以下,21,40,155
家事用,25mm以下,41,60,243
家事用,25mm以下,61,100,284
家事用,25mm以下,101,200,335
家事用,25mm以下,201,,387
家事用,40mm以上,1,20,120
家事用,40mm以上,21,40,155
家事用,40mm以上,41,60,243
家事用,40mm以上,61,100,284
家事用,40mm以上,101,200,335
家事用,40mm以上,201,,387
家事以外の用,25mm以下,1,20,17
家事以外の用,25mm以下,21,60,243
家事以外の用,25mm以下,61,200,335
家事以外の用,25mm以下,201,600,416
家事以外の用,25mm以下,601,2000,497
家事以外の用,25mm以下,2001,,542
家事以外の用,40mm以上,1,20,175
家事以外の用,40mm以上,21,60,243
家事以外の用,40mm以上,61,200,335
家事以外の用,40mm以上,201,600,416
家事以外の用,40mm以上,601,2000,497
家事以外の用,40mm以上,2001,,542
公衆浴場用,25mm以下,1,20,17
公衆浴場用,25mm以下,21,,44
公衆浴場用,40mm以上,1,20,35
公衆浴場用,40mm以上,21,,44
一時用,全口径,1,,973
